"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912828SG6","Note","2-Year","02/21/2012","02/29/2012","02/28/2014","99.880464"
"9127955P2","Bill","13-Week","02/21/2012","02/23/2012","05/24/2012","99.978514"
"912795Y96","Bill","26-Week","02/21/2012","02/23/2012","08/23/2012","99.936806"
"912810QV3","Bond","30-Year","02/16/2012","02/29/2012","02/15/2042","99.347316"
"9127955D9","Bill","4-Week","02/14/2012","02/16/2012","03/15/2012","99.991444"
"9127955J6","Bill","64-Day","02/14/2012","02/15/2012","04/19/2012","99.978667"
"9127955N7","Bill","13-Week","02/13/2012","02/16/2012","05/17/2012","99.975986"
"9127956B2","Bill","26-Week","02/13/2012","02/16/2012","08/16/2012","99.934278"
"912810QU5","Bond","30-Year","02/09/2012","02/15/2012","02/15/2042","97.803940"
"912828SF8","Note","10-Year","02/08/2012","02/15/2012","02/15/2022","99.819726"
"912828SE1","Note","3-Year","02/07/2012","02/15/2012","02/15/2015","99.710759"
"9127953G4","Bill","4-Week","02/07/2012","02/09/2012","03/08/2012","99.995333"
"9127955Z0","Bill","52-Week","02/07/2012","02/09/2012","02/07/2013","99.858444"
"9127955M9","Bill","13-Week","02/06/2012","02/09/2012","05/10/2012","99.979778"
"9127956A4","Bill","26-Week","02/06/2012","02/09/2012","08/09/2012","99.949444"
"912795Z46","Bill","4-Week","01/31/2012","02/02/2012","03/01/2012","99.996111"
"9127953N9","Bill","13-Week","01/30/2012","02/02/2012","05/03/2012","99.987361"
"9127955Y3","Bill","26-Week","01/30/2012","02/02/2012","08/02/2012","99.962083"
"912828SD3","Note","7-Year","01/26/2012","01/31/2012","01/31/2019","99.274515"
"912828SC5","Note","5-Year","01/25/2012","01/31/2012","01/31/2017","99.882914"
"912828SB7","Note","2-Year","01/24/2012","01/31/2012","01/31/2014","100.000000"
"912795Z38","Bill","4-Week","01/24/2012","01/26/2012","02/23/2012","99.998444"
"9127955K3","Bill","13-Week","01/23/2012","01/26/2012","04/26/2012","99.989889"
"9127954B4","Bill","26-Week","01/23/2012","01/26/2012","07/26/2012","99.964611"
"912828SA9","Note","10-Year","01/19/2012","01/31/2012","01/15/2022","101.661834"
"912795Z20","Bill","4-Week","01/18/2012","01/19/2012","02/16/2012","99.998833"
"9127955J6","Bill","13-Week","01/17/2012","01/19/2012","04/19/2012","99.993681"
"9127955X5","Bill","26-Week","01/17/2012","01/19/2012","07/19/2012","99.969667"
"912810QT8","Bond","29-Year 10-Month","01/12/2012","01/17/2012","11/15/2041","102.746849"
"912828RR3","Note","9-Year 10-Month","01/11/2012","01/17/2012","11/15/2021","100.890462"
"912828RZ5","Note","3-Year","01/10/2012","01/17/2012","01/15/2015","99.642968"
"9127953C3","Bill","4-Week","01/10/2012","01/12/2012","02/09/2012","100.000000"
"9127955V9","Bill","52-Week","01/10/2012","01/12/2012","01/10/2013","99.893833"
"9127955H0","Bill","13-Week","01/09/2012","01/12/2012","04/12/2012","99.997472"
"9127955W7","Bill","26-Week","01/09/2012","01/12/2012","07/12/2012","99.974722"
"912795Y88","Bill","4-Week","01/04/2012","01/05/2012","02/02/2012","100.000000"
"9127953H2","Bill","13-Week","01/03/2012","01/05/2012","04/05/2012","99.996208"
"9127955U1","Bill","26-Week","01/03/2012","01/05/2012","07/05/2012","99.972194"
"912795Y70","Bill","4-Week","12/28/2011","12/29/2011","01/26/2012","100.000000"
"9127955F4","Bill","13-Week","12/27/2011","12/29/2011","03/29/2012","99.993681"
"9127953W9","Bill","26-Week","12/27/2011","12/29/2011","06/28/2012","99.972194"
"912828RY8","Note","7-Year","12/21/2011","01/03/2012","12/31/2018","99.635210"
"912828RX0","Note","5-Year","12/20/2011","01/03/2012","12/31/2016","99.975602"
"912795Y62","Bill","4-Week","12/20/2011","12/22/2011","01/19/2012","100.000000"
"912828RW2","Note","2-Year","12/19/2011","01/03/2012","12/31/2013","99.771630"
"9127955E7","Bill","13-Week","12/19/2011","12/22/2011","03/22/2012","99.998736"
"9127955T4","Bill","26-Week","12/19/2011","12/22/2011","06/21/2012","99.979778"
"912828QD5","Note","4-Year 4-Month","12/15/2011","12/30/2011","04/15/2016","107.098375"
"912810QT8","Bond","29-Year 11-Month","12/14/2011","12/15/2011","11/15/2041","103.966337"
"9127952Y6","Bill","4-Week","12/13/2011","12/15/2011","01/12/2012","100.000000"
"9127955Q0","Bill","52-Week","12/13/2011","12/15/2011","12/13/2012","99.888778"
"912828RR3","Note","9-Year 11-Month","12/13/2011","12/15/2011","11/15/2021","99.819684"
"9127955D9","Bill","13-Week","12/12/2011","12/15/2011","03/15/2012","99.997472"
"9127955S6","Bill","26-Week","12/12/2011","12/15/2011","06/14/2012","99.977250"
"912828RV4","Note","3-Year","12/12/2011","12/15/2011","12/15/2014","99.695876"
"9127954A6","Bill","4-Week","12/06/2011","12/08/2011","01/05/2012","100.000000"
"9127953G4","Bill","13-Week","12/05/2011","12/08/2011","03/08/2012","99.998736"
"9127955R8","Bill","26-Week","12/05/2011","12/08/2011","06/07/2012","99.974722"
"9127953Z2","Bill","4-Week","11/29/2011","12/01/2011","12/29/2011","99.998444"
"912795Z46","Bill","13-Week","11/28/2011","12/01/2011","03/01/2012","99.992417"
"9127953S8","Bill","26-Week","11/28/2011","12/01/2011","05/31/2012","99.964611"
"912828RT9","Note","7-Year","11/23/2011","11/30/2011","11/30/2018","99.734313"
"912828RU6","Note","5-Year","11/22/2011","11/30/2011","11/30/2016","99.697840"
"9127953Y5","Bill","4-Week","11/22/2011","11/25/2011","12/22/2011","99.998500"
"912828RS1","Note","2-Year","11/21/2011","11/30/2011","11/30/2013","99.940209"
"912795Z38","Bill","13-Week","11/21/2011","11/25/2011","02/23/2012","99.996250"
"9127955P2","Bill","26-Week","11/21/2011","11/25/2011","05/24/2012","99.974861"
"912828QV5","Note","9-Year 8-Month","11/17/2011","11/30/2011","07/15/2021","105.733846"
"9127952T7","Bill","4-Week","11/15/2011","11/17/2011","12/15/2011","99.999611"
"9127955L1","Bill","52-Week","11/15/2011","11/17/2011","11/15/2012","99.898889"
"912795Z20","Bill","13-Week","11/14/2011","11/17/2011","02/16/2012","99.997472"
"9127955N7","Bill","26-Week","11/14/2011","11/17/2011","05/17/2012","99.979778"
"912810QT8","Bond","30-Year","11/10/2011","11/15/2011","11/15/2041","98.579514"
"912828RR3","Note","10-Year","11/09/2011","11/15/2011","11/15/2021","99.729725"
"912828RQ5","Note","3-Year","11/08/2011","11/15/2011","11/15/2014","99.988079"
"9127953X7","Bill","4-Week","11/08/2011","11/10/2011","12/08/2011","100.000000"
"9127953C3","Bill","13-Week","11/07/2011","11/10/2011","02/09/2012","99.998736"
"9127955M9","Bill","26-Week","11/07/2011","11/10/2011","05/10/2012","99.982306"
"9127953V1","Bill","4-Week","11/01/2011","11/03/2011","12/01/2011","99.999611"
"912795Y88","Bill","13-Week","10/31/2011","11/03/2011","02/02/2012","99.997472"
"9127953N9","Bill","26-Week","10/31/2011","11/03/2011","05/03/2012","99.972194"
"912828RP7","Note","7-Year","10/27/2011","10/31/2011","10/31/2018","99.731389"
"912828RM4","Note","5-Year","10/26/2011","10/31/2011","10/31/2016","99.732813"
"912828RN2","Note","2-Year","10/25/2011","10/31/2011","10/31/2013","99.938217"
"9127953U3","Bill","4-Week","10/25/2011","10/27/2011","11/25/2011","99.999597"
"912795Y70","Bill","13-Week","10/24/2011","10/27/2011","01/26/2012","99.994944"
"9127955K3","Bill","26-Week","10/24/2011","10/27/2011","04/26/2012","99.969667"
"912810QP6","Bond","29-Year 4-Month","10/20/2011","10/31/2011","02/15/2041","132.953297"
"9127952P5","Bill","4-Week","10/18/2011","10/20/2011","11/17/2011","99.998833"
"9127955G2","Bill","52-Week","10/18/2011","10/20/2011","10/18/2012","99.878667"
"912795Y62","Bill","13-Week","10/17/2011","10/20/2011","01/19/2012","99.992417"
"9127955J6","Bill","26-Week","10/17/2011","10/20/2011","04/19/2012","99.967139"
"912810QS0","Bond","29-Year 10-Month","10/13/2011","10/17/2011","08/15/2041","112.166894"
"912828RC6","Note","9-Year 10-Month","10/12/2011","10/17/2011","08/15/2021","98.717572"
"9127953T6","Bill","4-Week","10/12/2011","10/13/2011","11/10/2011","99.999222"
"912828RL6","Note","3-Year","10/11/2011","10/17/2011","10/15/2014","99.869476"
"9127952Y6","Bill","13-Week","10/11/2011","10/13/2011","01/12/2012","99.996208"
"9127955H0","Bill","26-Week","10/11/2011","10/13/2011","04/12/2012","99.977250"
"912796AP4","Bill","5-Day","10/06/2011","10/12/2011","10/17/2011","100.000000"
"9127953R0","Bill","4-Week","10/04/2011","10/06/2011","11/03/2011","100.000000"
