"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912797KM8","Bill","42-Day","08/13/2024","08/15/2024","09/26/2024",""
"912797LD7","Bill","13-Week","08/12/2024","08/15/2024","11/14/2024",""
"912797MK0","Bill","26-Week","08/12/2024","08/15/2024","02/13/2025",""
"912810UC0","Bond","30-Year","08/08/2024","08/15/2024","08/15/2054","98.928757"
"912797LG0","Bill","4-Week","08/08/2024","08/13/2024","09/10/2024","99.588944"
"912797LS4","Bill","8-Week","08/08/2024","08/13/2024","10/08/2024","99.192667"
"91282CLF6","Note","10-Year","08/07/2024","08/15/2024","08/15/2034","99.303721"
"912797MN4","Bill","17-Week","08/07/2024","08/13/2024","12/10/2024","98.350528"
"91282CLG4","Note","3-Year","08/06/2024","08/15/2024","08/15/2027","99.831417"
"912797KL0","Bill","42-Day","08/06/2024","08/08/2024","09/19/2024","99.385167"
"912797MG9","Bill","52-Week","08/06/2024","08/08/2024","08/07/2025","95.697722"
"912797LC9","Bill","13-Week","08/05/2024","08/08/2024","11/07/2024","98.717153"
"912797MJ3","Bill","26-Week","08/05/2024","08/08/2024","02/06/2025","97.623889"
"912797LA3","Bill","4-Week","08/01/2024","08/06/2024","09/03/2024","99.588944"
"912797LK1","Bill","8-Week","08/01/2024","08/06/2024","10/01/2024","99.186444"
"912797ME4","Bill","17-Week","07/31/2024","08/06/2024","12/03/2024","98.317472"
"912797KK2","Bill","42-Day","07/30/2024","08/01/2024","09/12/2024",""
"912797HE0","Bill","13-Week","07/29/2024","08/01/2024","10/31/2024",""
"912797LZ8","Bill","26-Week","07/29/2024","08/01/2024","01/30/2025",""
"91282CLD1","Note","7-Year","07/25/2024","07/31/2024","07/31/2031","99.777306"
"912797KZ9","Bill","4-Week","07/25/2024","07/30/2024","08/27/2024","99.588944"
"912797LJ4","Bill","8-Week","07/25/2024","07/30/2024","09/24/2024","99.181778"
"91282CLA7","Note","2-Year","07/24/2024","07/31/2024","07/31/2026","100.000000"
"91282CLC3","Note","5-Year","07/24/2024","07/31/2024","07/31/2029","99.458270"
"912797MD6","Bill","17-Week","07/24/2024","07/30/2024","11/26/2024","98.309208"
"91282CLB5","Note","2-Year","07/23/2024","07/31/2024","07/31/2026","99.888261"
"912797GL5","Bill","42-Day","07/23/2024","07/25/2024","09/05/2024","99.385167"
"912797KV8","Bill","13-Week","07/22/2024","07/25/2024","10/24/2024","98.688083"
"912797JR9","Bill","26-Week","07/22/2024","07/25/2024","01/23/2025","97.477278"
"91282CLE9","Note","10-Year","07/18/2024","07/31/2024","07/15/2034","100.012919"
"912797KY2","Bill","4-Week","07/18/2024","07/23/2024","08/20/2024","99.590111"
"912797LH8","Bill","8-Week","07/18/2024","07/23/2024","09/17/2024","99.181778"
"912810UB2","Bond","19-Year 10-Month","07/17/2024","07/31/2024","05/15/2044","102.062500"
"912797MC8","Bill","17-Week","07/17/2024","07/23/2024","11/19/2024","98.302597"
"912797KD8","Bill","42-Day","07/16/2024","07/18/2024","08/29/2024","99.385750"
"912797KU0","Bill","13-Week","07/15/2024","07/18/2024","10/17/2024","98.686819"
"912797LY1","Bill","26-Week","07/15/2024","07/18/2024","01/16/2025","97.479806"
"912797KX4","Bill","4-Week","07/11/2024","07/16/2024","08/13/2024","99.590111"
"912797LG0","Bill","8-Week","07/11/2024","07/16/2024","09/10/2024","99.181778"
"912810UA4","Bond","29-Year 10-Month","07/11/2024","07/15/2024","05/15/2054","103.622071"
"912797MB0","Bill","17-Week","07/10/2024","07/16/2024","11/12/2024","98.282764"
"91282CKQ3","Note","9-Year 10-Month","07/10/2024","07/15/2024","05/15/2034","100.777903"
"91282CKZ3","Note","3-Year","07/09/2024","07/15/2024","07/15/2027","99.933233"
"912797KC0","Bill","42-Day","07/09/2024","07/11/2024","08/22/2024","99.385167"
"912797LW5","Bill","52-Week","07/09/2024","07/11/2024","07/10/2025","95.171944"
"912797KT3","Bill","13-Week","07/08/2024","07/11/2024","10/10/2024","98.677972"
"912797LX3","Bill","26-Week","07/08/2024","07/11/2024","01/09/2025","97.431778"
"912797KW6","Bill","4-Week","07/03/2024","07/09/2024","08/06/2024","99.589333"
"912797LA3","Bill","8-Week","07/03/2024","07/09/2024","09/03/2024","99.179444"
"912797MA2","Bill","17-Week","07/03/2024","07/09/2024","11/05/2024","98.279458"
"912797KB2","Bill","41-Day","07/02/2024","07/05/2024","08/15/2024","99.399806"
"912797GW1","Bill","13-Week","07/01/2024","07/05/2024","10/03/2024","98.690000"
"912797LR6","Bill","26-Week","07/01/2024","07/05/2024","01/02/2025","97.428292"
"912797KR7","Bill","4-Week","06/27/2024","07/02/2024","07/30/2024","99.590111"
"912797KZ9","Bill","8-Week","06/27/2024","07/02/2024","08/27/2024","99.181778"
"91282CKW0","Note","7-Year","06/27/2024","07/01/2024","06/30/2031","99.843947"
"912797LV7","Bill","17-Week","06/26/2024","07/02/2024","10/29/2024","98.274500"
"91282CKX8","Note","5-Year","06/26/2024","07/01/2024","06/30/2029","99.639266"
"91282CKM2","Note","1-Year 10-Month","06/26/2024","06/28/2024","04/30/2026","99.986731"
"91282CKY6","Note","2-Year","06/25/2024","07/01/2024","06/30/2026","99.847007"
"912797GK7","Bill","42-Day","06/25/2024","06/27/2024","08/08/2024","99.387500"
"912797KM8","Bill","13-Week","06/24/2024","06/27/2024","09/26/2024","98.676708"
"912796ZV4","Bill","26-Week","06/24/2024","06/27/2024","12/26/2024","97.401444"
"91282CKL4","Note","4-Year 10-Month","06/20/2024","06/28/2024","04/15/2029","101.674989"
"912797KQ9","Bill","4-Week","06/20/2024","06/25/2024","07/23/2024","99.593222"
