CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price per $100
912795GA3,Bill,13-Week,01/02/2001,01/04/2001,04/05/2001,98.559
912795HA2,Bill,26-Week,01/02/2001,01/04/2001,07/05/2001,97.29
912795KF7,Bill,14-Day,01/02/2001,01/02/2001,01/16/2001,99.75
912795JE2,Bill,4-Week,01/02/2002,01/03/2002,01/31/2002,99.868
912795ZA2,Bill,13-Week,01/02/2007,01/04/2007,04/05/2007,98.753806
912795ZP9,Bill,26-Week,01/02/2007,01/04/2007,07/05/2007,97.522778
912795C58,Bill,4-Week,01/02/2008,01/03/2008,01/31/2008,99.766667
912796AN9,Bill,26-Week,01/02/2013,01/03/2013,07/05/2013,99.939
9127956F3,Bill,13-Week,01/02/2013,01/03/2013,04/04/2013,99.981042
9127957D7,Bill,4-Week,01/02/2013,01/03/2013,01/31/2013,99.994167
912796PK9,Bill,52-Week,01/02/2018,01/04/2018,01/03/2019,98.200222
912796PN3,Bill,26-Week,01/02/2018,01/04/2018,07/05/2018,99.20375
912796NY1,Bill,13-Week,01/02/2018,01/04/2018,04/05/2018,99.637264
912796LJ6,Bill,4-Week,01/02/2018,01/04/2018,02/01/2018,99.901222
912796WV7,Bill,8-Week,01/02/2020,01/07/2020,03/03/2020,99.764333
912796WR6,Bill,4-Week,01/02/2020,01/07/2020,02/04/2020,99.883333
912797GN1,Bill,42-Day,01/02/2024,01/04/2024,02/15/2024,99.382833
912796Y52,Bill,26-Week,01/02/2024,01/04/2024,07/05/2024,97.435458
912797GZ4,Bill,13-Week,01/02/2024,01/04/2024,04/04/2024,98.674181
912795DQ1,Bill,13-Week,01/03/2000,01/06/2000,04/06/2000,98.645
912795ER8,Bill,26-Week,01/03/2000,01/06/2000,07/06/2000,97.176
912795SH5,Bill,13-Week,01/03/2005,01/06/2005,04/07/2005,99.424931
912795VF5,Bill,26-Week,01/03/2005,01/06/2005,07/07/2005,98.705778
912795WW7,Bill,13-Week,01/03/2006,01/05/2006,04/06/2006,98.971194
912795XK2,Bill,26-Week,01/03/2006,01/05/2006,07/06/2006,97.843806
912795YR6,Bill,4-Week,01/03/2007,01/04/2007,02/01/2007,99.629778
9127952X8,Bill,26-Week,01/03/2011,01/06/2011,07/07/2011,99.903944
912795VD0,Bill,13-Week,01/03/2011,01/06/2011,04/07/2011,99.962083
9127955U1,Bill,26-Week,01/03/2012,01/05/2012,07/05/2012,99.972194
9127953H2,Bill,13-Week,01/03/2012,01/05/2012,04/05/2012,99.996208
912796KQ1,Bill,13-Week,01/03/2017,01/05/2017,04/06/2017,99.866028
912796LC1,Bill,52-Week,01/03/2017,01/05/2017,01/04/2018,99.120333
912796JA8,Bill,4-Week,01/03/2017,01/05/2017,02/02/2017,99.963056
912796LG2,Bill,26-Week,01/03/2017,01/05/2017,07/06/2017,99.6815
912796UM9,Bill,4-Week,01/03/2019,01/08/2019,02/05/2019,99.814111
912796UR8,Bill,8-Week,01/03/2019,01/08/2019,03/05/2019,99.630556
912796R68,Bill,26-Week,01/03/2022,01/06/2022,07/07/2022,99.888778
912796N47,Bill,13-Week,01/03/2022,01/06/2022,04/07/2022,99.97725
912796ZS1,Bill,26-Week,01/03/2023,01/05/2023,07/06/2023,97.65675
912796YN3,Bill,13-Week,01/03/2023,01/05/2023,04/06/2023,98.88525
912797JV0,Bill,17-Week,01/03/2024,01/09/2024,05/07/2024,98.281111
912795BG5,Bill,13-Week,01/04/1999,01/07/1999,04/08/1999,98.893
912795CF6,Bill,26-Week,01/04/1999,01/07/1999,07/08/1999,97.765
912795ES6,Bill,52-Week,01/04/2000,01/06/2000,01/04/2001,94.292
912795RY9,Bill,4-Week,01/04/2005,01/06/2005,02/03/2005,99.844444
912795WM9,Bill,4-Week,01/04/2006,01/05/2006,02/02/2006,99.691611
912795UW9,Bill,26-Week,01/04/2010,01/07/2010,07/08/2010,99.909
912795U33,Bill,13-Week,01/04/2010,01/07/2010,04/08/2010,99.979778
912795Y21,Bill,4-Week,01/04/2011,01/06/2011,02/03/2011,99.990667
912795Y88,Bill,4-Week,01/04/2012,01/05/2012,02/02/2012,100.0
912796HK8,Bill,13-Week,01/04/2016,01/07/2016,04/07/2016,99.945653
912796HZ5,Bill,26-Week,01/04/2016,01/07/2016,07/07/2016,99.747222
912796B57,Bill,26-Week,01/04/2021,01/07/2021,07/08/2021,99.9545
9127964X4,Bill,13-Week,01/04/2021,01/07/2021,04/08/2021,99.97725
912797FD4,Bill,17-Week,01/04/2023,01/10/2023,05/09/2023,98.489361
912797JC2,Bill,4-Week,01/04/2024,01/09/2024,02/06/2024,99.588556
912797JG3,Bill,8-Week,01/04/2024,01/09/2024,03/05/2024,99.177889
912795DB4,Bill,52-Week,01/05/1999,01/07/1999,01/06/2000,95.617
912795QS3,Bill,26-Week,01/05/2004,01/08/2004,07/08/2004,99.484
912795PT2,Bill,13-Week,01/05/2004,01/08/2004,04/08/2004,99.767
912795L33,Bill,13-Week,01/05/2009,01/08/2009,04/09/2009,99.962083
912795M99,Bill,26-Week,01/05/2009,01/08/2009,07/09/2009,99.838222
912795S85,Bill,4-Week,01/05/2010,01/07/2010,02/04/2010,99.998056
9127952D2,Bill,56-Day,01/05/2011,01/06/2011,03/03/2011,99.978222
912796FT1,Bill,26-Week,01/05/2015,01/08/2015,07/09/2015,99.944389
912796FC8,Bill,13-Week,01/05/2015,01/08/2015,04/09/2015,99.992417
912796HV4,Bill,52-Week,01/05/2016,01/07/2016,01/05/2017,99.322556
912796FV6,Bill,4-Week,01/05/2016,01/07/2016,02/04/2016,99.984444
9127964D8,Bill,42-Day,01/05/2021,01/07/2021,02/18/2021,99.990083
9127965A3,Bill,119-Day,01/05/2021,01/07/2021,05/06/2021,99.971903
912796U80,Bill,119-Day,01/05/2022,01/11/2022,05/10/2022,99.950417
912796Y86,Bill,8-Week,01/05/2023,01/10/2023,03/07/2023,99.310889
912796ZT9,Bill,4-Week,01/05/2023,01/10/2023,02/07/2023,99.681111
9128274Y5,Note,10-Year,01/06/1999,01/15/1999,01/15/2009,99.811
912795MG3,Bill,13-Week,01/06/2003,01/09/2003,04/10/2003,99.7
912795NC1,Bill,26-Week,01/06/2003,01/09/2003,07/10/2003,99.373
912795PJ4,Bill,4-Week,01/06/2004,01/08/2004,02/05/2004,99.934
912828JX9,Note,10-Year,01/06/2009,01/15/2009,01/15/2019,98.930505
912795K26,Bill,4-Week,01/06/2009,01/08/2009,02/05/2009,99.995333
912796CG2,Bill,13-Week,01/06/2014,01/09/2014,04/10/2014,99.986097
912796DH9,Bill,26-Week,01/06/2014,01/09/2014,07/10/2014,99.959556
912796FP9,Bill,52-Week,01/06/2015,01/08/2015,01/07/2016,99.747222
912796DG1,Bill,4-Week,01/06/2015,01/08/2015,02/05/2015,99.999222
912796TQ2,Bill,13-Week,01/06/2020,01/09/2020,04/09/2020,99.615778
912796WW5,Bill,26-Week,01/06/2020,01/09/2020,07/09/2020,99.231556
912796F20,Bill,105-Day,01/06/2021,01/12/2021,04/27/2021,99.97375
912796G94,Bill,154-Day,01/06/2021,01/12/2021,06/15/2021,99.9615
912796S75,Bill,8-Week,01/06/2022,01/11/2022,03/08/2022,99.991444
912796R76,Bill,4-Week,01/06/2022,01/11/2022,02/08/2022,99.996111
912795JP7,Bill,13-Week,01/07/2002,01/10/2002,04/11/2002,99.582
912795KR1,Bill,26-Week,01/07/2002,01/10/2002,07/11/2002,99.115
912795LX7,Bill,4-Week,01/07/2003,01/09/2003,02/06/2003,99.911
912828BV1,Note,5-Year,01/07/2004,01/15/2004,01/15/2009,99.954
912795F48,Bill,26-Week,01/07/2008,01/10/2008,07/10/2008,98.397389
912795D73,Bill,13-Week,01/07/2008,01/10/2008,04/10/2008,99.196167
912828KB5,Note,3-Year,01/07/2009,01/15/2009,01/15/2012,99.77965
912795K83,Bill,70-Day,01/07/2009,01/08/2009,03/19/2009,99.980556
912795Z95,Bill,13-Week,01/07/2013,01/10/2013,04/11/2013,99.983569
912796AS8,Bill,26-Week,01/07/2013,01/10/2013,07/11/2013,99.946917
912796DF3,Bill,52-Week,01/07/2014,01/09/2014,01/08/2015,99.873611
912796AR0,Bill,4-Week,01/07/2014,01/09/2014,02/06/2014,100.0
912828A91,Note,3-Year,01/07/2014,01/15/2014,01/15/2017,99.855034
912796RZ4,Bill,26-Week,01/07/2019,01/10/2019,07/11/2019,98.751278
912796RG6,Bill,13-Week,01/07/2019,01/10/2019,04/11/2019,99.390806
912828Z29,Note,3-Year,01/07/2020,01/15/2020,01/15/2023,99.804399
912796C72,Bill,8-Week,01/07/2021,01/12/2021,03/09/2021,99.986778
912796B73,Bill,4-Week,01/07/2021,01/12/2021,02/09/2021,99.993778
9128273T7,Note,10-Year,01/08/1998,01/15/1998,01/15/2008,99.13
912795GB1,Bill,13-Week,01/08/2001,01/11/2001,04/12/2001,98.723
912795HC8,Bill,26-Week,01/08/2001,01/11/2001,07/12/2001,97.561
912795JF9,Bill,4-Week,01/08/2002,01/10/2002,02/07/2002,99.871
912828AF7,Note,9-Year 6-Month,01/08/2003,01/15/2003,07/15/2012,106.474
912828BW9,Note,10-Year,01/08/2004,01/15/2004,01/15/2014,99.829
912795ZB0,Bill,13-Week,01/08/2007,01/11/2007,04/12/2007,98.751278
912795ZQ7,Bill,26-Week,01/08/2007,01/11/2007,07/12/2007,97.512667
912795C66,Bill,4-Week,01/08/2008,01/10/2008,02/07/2008,99.748
912828JR2,Note,9-Year 10-Month,01/08/2009,01/15/2009,11/15/2018,111.579767
912828UG3,Note,3-Year,01/08/2013,01/15/2013,01/15/2016,99.970201
912796AQ2,Bill,52-Week,01/08/2013,01/10/2013,01/09/2014,99.858444
9127955Z0,Bill,4-Week,01/08/2013,01/10/2013,02/07/2013,99.995722
912828WE6,Note,9-Year 10-Month,01/08/2014,01/15/2014,11/15/2023,97.805126
912796PQ6,Bill,26-Week,01/08/2018,01/11/2018,07/12/2018,99.20375
912796PA1,Bill,13-Week,01/08/2018,01/11/2018,04/12/2018,99.638528
9128285V8,Note,3-Year,01/08/2019,01/15/2019,01/15/2022,99.830664
912828YS3,Note,9-Year 10-Month,01/08/2020,01/15/2020,11/15/2029,98.933819
912797GB7,Bill,26-Week,01/08/2024,01/11/2024,07/11/2024,97.457056
912797HF7,Bill,13-Week,01/08/2024,01/11/2024,04/11/2024,98.676708
9128277J5,Note,10-Year,01/09/2002,01/15/2002,01/15/2012,99.12
912795XL0,Bill,26-Week,01/09/2006,01/12/2006,07/13/2006,97.851389
912795WX5,Bill,13-Week,01/09/2006,01/12/2006,04/13/2006,98.950972
912795YS4,Bill,4-Week,01/09/2007,01/11/2007,02/08/2007,99.626667
9127955H0,Bill,13-Week,01/09/2012,01/12/2012,04/12/2012,99.997472
9127955W7,Bill,26-Week,01/09/2012,01/12/2012,07/12/2012,99.974722
912828TY6,Note,9-Year 10-Month,01/09/2013,01/15/2013,11/15/2022,97.869127
912810RD2,Bond,29-Year 10-Month,01/09/2014,01/15/2014,11/15/2043,97.378077
