CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price per $100
9127935W2,Bill,52-Week,01/02/1980,01/08/1980,01/02/1981,
912827RT1,Note,7-Year,01/02/1985,01/04/1985,01/15/1992,
912794UM4,Bill,26-Week,01/02/1990,01/04/1990,07/05/1990,
912794TY0,Bill,13-Week,01/02/1990,01/04/1990,04/05/1990,
9127942Y9,Bill,26-Week,01/02/1996,01/04/1996,07/05/1996,
912794X90,Bill,13-Week,01/02/1996,01/04/1996,04/04/1996,
9127944Q4,Bill,52-Week,01/02/1997,01/09/1997,01/08/1998,
912795HA2,Bill,26-Week,01/02/2001,01/04/2001,07/05/2001,97.29
912795GA3,Bill,13-Week,01/02/2001,01/04/2001,04/05/2001,98.559
912795KF7,Bill,14-Day,01/02/2001,01/02/2001,01/16/2001,99.75
912795JE2,Bill,4-Week,01/02/2002,01/03/2002,01/31/2002,99.868
912795ZA2,Bill,13-Week,01/02/2007,01/04/2007,04/05/2007,98.753806
912795ZP9,Bill,26-Week,01/02/2007,01/04/2007,07/05/2007,97.522778
912795C58,Bill,4-Week,01/02/2008,01/03/2008,01/31/2008,99.766667
912796AN9,Bill,26-Week,01/02/2013,01/03/2013,07/05/2013,99.939
9127956F3,Bill,13-Week,01/02/2013,01/03/2013,04/04/2013,99.981042
9127957D7,Bill,4-Week,01/02/2013,01/03/2013,01/31/2013,99.994167
912796NY1,Bill,13-Week,01/02/2018,01/04/2018,04/05/2018,99.637264
912796LJ6,Bill,4-Week,01/02/2018,01/04/2018,02/01/2018,99.901222
912796PN3,Bill,26-Week,01/02/2018,01/04/2018,07/05/2018,99.20375
912796PK9,Bill,52-Week,01/02/2018,01/04/2018,01/03/2019,98.200222
912796WR6,Bill,4-Week,01/02/2020,01/07/2020,02/04/2020,99.883333
912796WV7,Bill,8-Week,01/02/2020,01/07/2020,03/03/2020,99.764333
912797GZ4,Bill,13-Week,01/02/2024,01/04/2024,04/04/2024,98.674181
912796Y52,Bill,26-Week,01/02/2024,01/04/2024,07/05/2024,97.435458
912797GN1,Bill,42-Day,01/02/2024,01/04/2024,02/15/2024,99.382833
912810CL0,Bond,15-Year 1-Month,01/03/1980,01/10/1980,02/15/1995,
912794CQ5,Bill,13-Week,01/03/1983,01/06/1983,04/07/1983,
912794DH4,Bill,26-Week,01/03/1983,01/06/1983,07/07/1983,
912794FM1,Bill,26-Week,01/03/1984,01/05/1984,07/05/1984,
912794EU4,Bill,13-Week,01/03/1984,01/05/1984,04/05/1984,
912810DM7,Bond,19-Year 10-Month,01/03/1985,01/08/1985,11/15/2004,
912794SH8,Bill,26-Week,01/03/1989,01/05/1989,07/06/1989,
912794RR7,Bill,13-Week,01/03/1989,01/05/1989,04/06/1989,
912794M35,Bill,26-Week,01/03/1994,01/06/1994,07/07/1994,
912794J88,Bill,13-Week,01/03/1994,01/06/1994,04/07/1994,
912794R48,Bill,13-Week,01/03/1995,01/05/1995,04/06/1995,
912794T87,Bill,26-Week,01/03/1995,01/05/1995,07/06/1995,
912795DQ1,Bill,13-Week,01/03/2000,01/06/2000,04/06/2000,98.645
912795ER8,Bill,26-Week,01/03/2000,01/06/2000,07/06/2000,97.176
912795SH5,Bill,13-Week,01/03/2005,01/06/2005,04/07/2005,99.424931
912795VF5,Bill,26-Week,01/03/2005,01/06/2005,07/07/2005,98.705778
912795XK2,Bill,26-Week,01/03/2006,01/05/2006,07/06/2006,97.843806
912795WW7,Bill,13-Week,01/03/2006,01/05/2006,04/06/2006,98.971194
912795YR6,Bill,4-Week,01/03/2007,01/04/2007,02/01/2007,99.629778
9127952X8,Bill,26-Week,01/03/2011,01/06/2011,07/07/2011,99.903944
912795VD0,Bill,13-Week,01/03/2011,01/06/2011,04/07/2011,99.962083
9127955U1,Bill,26-Week,01/03/2012,01/05/2012,07/05/2012,99.972194
9127953H2,Bill,13-Week,01/03/2012,01/05/2012,04/05/2012,99.996208
912796JA8,Bill,4-Week,01/03/2017,01/05/2017,02/02/2017,99.963056
912796KQ1,Bill,13-Week,01/03/2017,01/05/2017,04/06/2017,99.866028
912796LG2,Bill,26-Week,01/03/2017,01/05/2017,07/06/2017,99.6815
912796LC1,Bill,52-Week,01/03/2017,01/05/2017,01/04/2018,99.120333
912796UM9,Bill,4-Week,01/03/2019,01/08/2019,02/05/2019,99.814111
912796UR8,Bill,8-Week,01/03/2019,01/08/2019,03/05/2019,99.630556
912796N47,Bill,13-Week,01/03/2022,01/06/2022,04/07/2022,99.97725
912796R68,Bill,26-Week,01/03/2022,01/06/2022,07/07/2022,99.888778
912796YN3,Bill,13-Week,01/03/2023,01/05/2023,04/06/2023,98.88525
912796ZS1,Bill,26-Week,01/03/2023,01/05/2023,07/06/2023,97.65675
912797JV0,Bill,17-Week,01/03/2024,01/09/2024,05/07/2024,98.281111
912794AL8,Bill,13-Week,01/04/1982,01/07/1982,04/08/1982,
912794BD5,Bill,26-Week,01/04/1982,01/07/1982,07/08/1982,
